Nr,Kappa,Ext_mort,Ext_Mort_slope,fish_in_pikeperch_diet,Feeding_level_of_pikeperch,Sum_of_Spearman_corr,Mean_corr_Spearman
1,4,0.1,-0.25,11.89,0.3,1.85,0.37
2,5,0.1,-0.25,11.01,0.29,2.06,0.41
3,6,0.1,-0.25,8.66,0.25,2.42,0.48
4,7,0.1,-0.25,7.64,0.23,2.59,0.52
5,7,0.1,-0.333333333,7.51,0.23,2.69,0.54
6,8,0.1,-0.333333333,6.63,0.22,2.77,0.55
7,9,0.1,-0.333333333,5.91,0.2,2.81,0.56
8,6,0.2,-0.25,9.07,0.25,2.22,0.44
9,7,0.2,-0.25,7.88,0.23,2.36,0.47
10,8,0.2,-0.25,6.91,0.22,2.5,0.5
11,6,0.2,-0.333333333,8.99,0.25,2.35,0.47
12,7,0.2,-0.333333333,7.83,0.23,2.55,0.51
13,8,0.2,-0.333333333,6.91,0.22,2.65,0.53
14,7,0.3,-0.333333333,7.57,0.23,2.47,0.49
15,6,0.3,-0.25,9.04,0.25,2.17,0.43
16,7,0.3,-0.25,8.55,0.24,2.24,0.45
17,8,0.3,-0.25,7.31,0.22,2.3,0.46
18,7,0.3,-0.2,8.37,0.24,2.1,0.42
19,8,0.3,-0.2,7.76,0.23,2.12,0.42
20,9,0.3,-0.2,7.26,0.22,2.21,0.44
21,10,0.3,-0.2,6.59,0.21,2.26,0.45
22,11,0.3,-0.2,5.96,0.2,2.29,0.46
23,12,0.3,-0.2,5.45,0.19,2.29,0.46
24,13,0.3,-0.2,4.98,0.18,2.32,0.46
25,14,0.3,-0.2,4.98,0.18,2.32,0.46
26,15,0.3,-0.2,4.42,0.18,2.38,0.48
27,16,0.3,-0.2,4.28,0.17,2.43,0.49
28,9,0.3,-0.166666667,7.1,0.22,2.05,0.41
29,10,0.3,-0.166666667,6.9,0.22,2.06,0.41
30,11,0.3,-0.166666667,6.03,0.2,2.12,0.42
31,12,0.3,-0.166666667,5.76,0.2,2.16,0.43
32,13,0.3,-0.166666667,5.26,0.19,2.16,0.43
33,14,0.3,-0.166666667,4.96,0.18,2.18,0.44
34,15,0.3,-0.166666667,4.92,0.18,2.21,0.44
35,16,0.3,-0.166666667,4.39,0.17,2.2,0.44
36,9,0.3,-0.125,7.53,0.23,1.9,0.38
37,10,0.3,-0.125,6.68,0.21,1.96,0.39
38,11,0.3,-0.125,6.46,0.21,1.95,0.39
39,12,0.3,-0.125,6.12,0.2,1.98,0.4
40,11,0.4,-0.125,6.81,0.21,1.76,0.35
