Year,Species,landings
1990,Pikeperch,0.23951782
1991,Pikeperch,0.226939203
1992,Pikeperch,0.270964361
1993,Pikeperch,0.174292453
1994,Pikeperch,0.127180294
1995,Pikeperch,0.090563417
1996,Pikeperch,0.127096436
1997,Pikeperch,0.124997379
1998,Pikeperch,0.119743187
1999,Pikeperch,0.137908805
2000,Pikeperch,0.183805031
2001,Pikeperch,0.207688679
2002,Pikeperch,0.278818134
2003,Pikeperch,0.28317086
2004,Pikeperch,0.28615566
2005,Pikeperch,0.273322851
2006,Pikeperch,0.238993711
2007,Pikeperch,0.229821803
2008,Pikeperch,0.214622642
2009,Pikeperch,0.174528302
2010,Pikeperch,0.199947589
2011,Pikeperch,0.245807128
2012,Pikeperch,0.16745283
2013,Pikeperch,0.222746331
2014,Pikeperch,0.279350105
2015,Pikeperch,0.275681342
2016,Pikeperch,0.169549266
2017,Pikeperch,0.123427673
2018,Pikeperch,0.173480084
2019,Pikeperch,0.224056604
2020,Pikeperch,0.254454927
2021,Pikeperch,0.17557652
2022,Pikeperch,0.136268344
2023,Pikeperch,0.102201258
1990,Bream,1.707809224
1991,Bream,1.012578616
1992,Bream,0.888888889
1993,Bream,0.594444444
1994,Bream,0.601126834
1995,Bream,0.833359539
1996,Bream,0.81918239
1997,Bream,0.953634696
1998,Bream,1.032853774
1999,Bream,1.033899371
2000,Bream,1.03254717
2001,Bream,1.017641509
2002,Bream,1.105990566
2003,Bream,0.968160377
2004,Bream,1.016449161
2005,Bream,0.93225891
2006,Bream,0.89634696
2007,Bream,1.075621069
2008,Bream,0.906496331
2009,Bream,0.762340147
2010,Bream,0.940597484
2011,Bream,1.144635744
2012,Bream,0.943176101
2013,Bream,1.298320231
2014,Bream,1.200107442
2015,Bream,1.276391509
2016,Bream,1.408280922
2017,Bream,1.368448637
2018,Bream,1.13836478
2019,Bream,1.604195493
2020,Bream,1.619533543
2021,Bream,1.362421384
2022,Bream,1.624737945
2023,Bream,1.574161426
1990,Perch,0.552410901
1991,Perch,0.387316562
1992,Perch,0.138888889
1993,Perch,0.104114256
1994,Perch,0.112683438
1995,Perch,0.103687107
1996,Perch,0.088233753
1997,Perch,0.113259958
1998,Perch,0.131006289
1999,Perch,0.155154612
2000,Perch,0.12086478
2001,Perch,0.116548742
2002,Perch,0.120102201
2003,Perch,0.103915094
2004,Perch,0.108936059
2005,Perch,0.13158543
2006,Perch,0.146318134
2007,Perch,0.131737421
2008,Perch,0.149724843
2009,Perch,0.112319182
2010,Perch,0.077945493
2011,Perch,0.174405136
2012,Perch,0.123519392
2013,Perch,0.127479036
2014,Perch,0.080676101
2015,Perch,0.128650419
2016,Perch,0.072458071
2017,Perch,0.079643606
2018,Perch,0.078878407
2019,Perch,0.094119497
2020,Perch,0.108162998
2021,Perch,0.100366876
2022,Perch,0.083857442
2023,Perch,0.044025157
1990,Roach,1.874475891
1991,Roach,1.612421384
1992,Roach,1.376048218
1993,Roach,0.683621593
1994,Roach,0.507363732
1995,Roach,0.42822327
1996,Roach,0.801598532
1997,Roach,1.14620021
1998,Roach,1.286407233
1999,Roach,1.205026205
2000,Roach,1.224698637
2001,Roach,0.982012579
2002,Roach,1.353928197
2003,Roach,1.53403826
2004,Roach,1.326624738
2005,Roach,1.149580713
2006,Roach,1.037133124
2007,Roach,1.192958595
2008,Roach,1.043671384
2009,Roach,0.685178197
2010,Roach,0.653472222
2011,Roach,0.823443396
2012,Roach,0.679412998
2013,Roach,0.698432914
2014,Roach,0.747948113
2015,Roach,0.800980084
2016,Roach,0.677633648
2017,Roach,0.622400419
2018,Roach,0.458857442
2019,Roach,0.577169811
2020,Roach,0.614410377
2021,Roach,0.413784067
2022,Roach,0.394392034
2023,Roach,0.298742138
1990,Silverbream,0.025943396
1991,Silverbream,0.018081761
1992,Silverbream,0.003930818
1993,Silverbream,0.003668763
1994,Silverbream,0.001650943
1995,Silverbream,0.000251572
1996,Silverbream,0.000838574
1997,Silverbream,0.007366352
1998,Silverbream,0.009599057
1999,Silverbream,0.006001048
2000,Silverbream,0.010379979
2001,Silverbream,0.022604822
2002,Silverbream,0.024910901
2003,Silverbream,0.042334906
2004,Silverbream,0.108694969
2005,Silverbream,0.051991614
2006,Silverbream,0.053715933
2007,Silverbream,0.069350105
2008,Silverbream,0.100369497
2009,Silverbream,0.117279874
2010,Silverbream,0.072251048
2011,Silverbream,0.096166143
2012,Silverbream,0.114127358
2013,Silverbream,0.064829665
2014,Silverbream,0.058244235
2015,Silverbream,0.025953878
2016,Silverbream,0.02778826
2017,Silverbream,0.02432652
2018,Silverbream,0.011084906
2019,Silverbream,0.009043501
2020,Silverbream,0.005749476
2021,Silverbream,0.002712264
2022,Silverbream,0.005765199
2023,Silverbream,0.003668763
